LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size
0.1,1.0,0.001,0.1,48,11,7.5333,0.1805,266
0.1,1.0,0.001,0.1,48,12,7.9,0.1073,261
0.1,1.0,0.001,0.1,48,13,7.9,0.1245,265
0.1,1.0,0.001,0.1,48,14,8.4,0.1011,267
0.1,1.0,0.001,0.1,48,15,8.5667,0.0672,268
0.1,1.0,0.001,0.1,48,16,7.6333,0.1137,255
0.1,1.0,0.001,0.1,48,17,7.7333,0.0956,251
0.1,1.0,0.001,0.1,48,18,7.6,0.1304,253
0.1,1.0,0.001,0.1,48,19,8.1,0.1136,264
0.1,1.0,0.001,0.1,48,20,8.1667,0.1136,264
